bank_code,bank_bin_en,bank_nspk_en,meber_id,bic
ao_bank_moskva_siti,Moscow-City,MOSCOW-CITY BANK,72342020101,
socium_bank,Socium-Bank,SOCIUM-BANK,72442020301,
slavia,Slavia Bank,Slavia,72172020701,
jscb_priobye,Priobye,Priobye,72552020801,
ao_realist_bank,Bank Realist,REALIST BANK,72562020901,
tavrichesky_bank,Tavrichesky Bank,Tavrichesky Bank,72312100102,
modulbank,Modulbank,Modulbank,72252021101,
akibank,Akibank,AKIBANK,72212170102,
sber,Sberbank,Sberbank,70372200101,
sber,Sberbank,Sberbank,70372200106,
bank_orange_llc,Orange Bank,BANK ORANGE,72022022401,
bank_agora,Bank Agora,Bank AGORA,72182022701,
ns_bank,Ns Bank,NS Bank,72192022802,
coalmetbank,Coalmetbank,COALMETBANK,72042023101,
bank_perm,Bank Perm,Bank Perm,72752023601,
solidarnost,Bank Solidarnost,Bank Solidarnost,72432490102,
alef_bank,Alef-Bank,Alef-Bank,72972530102,
nico_bank,Nico-Bank,NICO-BANK,72932550101,
novobank,Novobank,Novobank,72232560102,
zhivago_bank,Zhivago Bank,ZHIVAGO BANK,71982570104,
lanta_bank,Lanta Bank,LANTA BANK,73182025801,
nbd_bank,Nbd-Bank,NBD-Bank,73112590102,
ao_pervyj_dortransbank,First Dortransbank,DorTransBank,73192026201,
jscb_centrocredit,Centrocredit,CentroCredit Bank,72522026401,
ao_koshelev_bank,Koshelev-Bank,Koshelev-bank,72772026801,
ao_kb_rusnarbank,Rusnarbank,RUSNARBANK,72702027102,
tomskpromstroybank,Tomskpromstroybank,Tomskpromstroybank,73202027401,
dolinsk,Dolinsk,Dolinsk,73332790101,
aresbank,Aresbank,ARESBANK,73492030601,
globus,Bank Globus,Globus,73462030801,
ao_probank,Probank,ProBank,73532031601,
rostfinance,Rostfinance Bank,RostFinance,73152032202,
newcentury,New Century Bank,New Century Bank,72142032302,
prio_vneshtorgbank,Prio-Vneshtorgbank,Prio-Vneshtorgbank,73473240101,
tkpb,Tkpb,TKPB,72693250102,
yarinterbank,Yarinterbank,Yarinterbank,73502033101,
belgorodsocbank,Belgorodsocbank,BELGORODSOCBANK,73522033901,
ao_bank_finam,Bank Finam,FINAM Bank,73162034303,
novokib,Novokib Bank,NovoKIB,73722034401,
ooo_promselhozbank,Promselhozbank,Promselhozbank,73682034602,
sinko_bank,Sinko-Bank,SINKO-BANK,73412034702,
euroaliiance,Euroaliiance,EUROALIIANCE,73632035101,
pjsc_scb_metallinvestbank,Metallinvestbank,Metallinvestbank,73712036002,
bks_bank,Bcs Bank,BCS Bank,73672036201,
ao_nokssbank,Nokssbank,NOKSSBANK,73922036701,
metkombank,Metkombank,METKOMBANK,73822037401,
royal_credit_bank,Royal Credit Bank,Royal Credit Bank,73842037904,
freedom_finance_bank_llc,Freedom Finance Bank,Freedom Finance,74002038401,
akb_tender_bank_ao,Tender-Bank,Tender Bank,74012039001,
mb_bank,Mb Bank,MB Bank,74274110102,
mobile_card,Nbfc Mobile Card,Mobile card,74564180103,
wildberries_bank,Wildberries Банк,Wildberries Bank,74874230101,
yandex,Yandex Bank,Yandex Bank,74094310101,
ecom_bank,Ecom Bank,Ecom Bank,75004320101,
republic_credit_alliance,Republic Credit Alliance,Republic Credit Alliance,74342043301,
smp,Smp Bank,SMP Bank,70134880101,
mkb,Credit Bank Of Moscow,CREDIT BANK OF MOSCOW,70280260101,
central_bank_of_russia,Central Bank Of Russia,Central Bank of Russia,71231000103,
mkb,Credit Bank Of Moscow,CREDIT BANK OF MOSCOW,71671580101,
inbank,Inbank,LLC Inbank,74174350101,
rncb,Rncb Bank,RNCB,70100020101,
vbrr,VBRR,"AO ""VBRR""",70110100101,
sankt_peterburg,Bank Sankt-Peterburg,Sankt-Peterburg,70380330101,
ubrir,UBRIR,UBRIR,70410450101,
soyuz,Bank SOYUZ,SOYUZ,70620490101,
rnko,RNKO,RNKO,70350570101,
rncb,Rncb Bank,RNCB,70870760102,
unicredit,Unicreditbank,Unicreditbank,71032008401,
kubankredit,kubankredit,kubankredit,71122009501,
mosnarbank,Evrofinance Mosnarbank,Evrofinance Mosnarbank,70431220103,
jsc_petersburg_social_commercial_bank,Bank Pscb,"JSC Bank ""PSCB""",71742015001,
crocus_bank_ltd,CrocusBank,Crocusbank,71752015101,
bratsky_narodny_bank,Bratsky Narodny Bank,Bratsky Narodny Bank JSC,71652015401,
locko,LockoBank,lockobank,71662016001,
yoomoney,Yoomoney,"""YooMoney"", NBCO LLC",74252041201,
otkritie,Bank Otkritie Financial Corporation,Bank Otkritie Financial Corporation,70240050101,
otkritie,Bank Otkritie Financial Corporation,Bank Otkritie Financial Corporation,70300290101,
otkritie,Bank Otkritie Financial Corporation,Bank Otkritie Financial Corporation,70300290102,
akb_petersburg_city_bank,PETERSBURGS Citi Bank,PETERSBURGS CITI BANK,71772016501,
severgazbank,SGB,sgb,70180180101,
moscow_industrial_bank,MInBank,MInBank,70170200101,
surgutneftegasbank,SNGB,SNGB,70720580101,
ao_bank_inteza,Bank Intesa,Banca Intesa,70850720101,
atb_bank_ltd,atb,"""ATB"" Bank LTD",73132029602,
uralfinance,Uralfinance Bank,"""Uralfinance"" Commercial bank",73102032901,
chelyabinvest,Bank CHELYABINVESTBANK,CHELYABINVESTBANK,70020160101,
skb,BANK SINARA,BANK SINARA,70630480101,
bank_finservis,FINSB,FINSB,71961720101,
altyn_bank,AltynBank,Altynbank,72402018601,
moscombank,MOSCOMBANK,MOSCOMBANK,72072021201,
kb_ural_fd,Ural FD,Ural FD,71542021401,
ao_ik_bank,IC Bank,IC BANK,72132210102,
credit_europe_bank_ltd,Credit Europe,Credit Europe Bank (Russia),70390340101,
js_itb,Investtorgbank,"JS ""ITB""",72632300102,
bank_ptb_ooo,PromTransBank,PromTransBank,72852023901,
dalenabank,DalenaBank,Dalenabank,72682025401,
toljattihimbank,thbank,thbank,72762780102,
bank_rmp_ao,BankRmp,Bankrmp,73302029501,
isbank,IS Bank,IS Bank,72051840102,
ao_pervyj_investicionnyj_bank,First Investment Bank,First Investment Bank,73052031402,
renaissance_credit,Renessans Kredit,Renessans Kredit,73062034101,
jsc_cb_poidem,CB Poidem!,CB Poidem!,73772035403,
dzhej_end_ti_bank_ao,J&T Bank,J&T Bank,73862035901,
ao_ekonombank,Econombank,Econombank,73932038102,
eksi_bank,EKSI-BANK,EKSI-BANK,70763830102,
capital_kredit,Capital Kredit,Capital Kredit,72964370101,
cibit,Cibit-Bank,COMMERCIAL BANK CIBIT,89002000003,
cmr_abkhazia,Cmr Abkhazia,"OOO Bank ""CMR Abkhazia""",89002000010,
ardshinbank_cjsc,Ardshinbank,Ardshinbank CJSC,89001000004,
ameriabank_cjsc,Ameriabank,Ameriabank CJSC,89001000001,
evocabank_cjsc,Evokabank,Evokabank CJSC,89001000007,
converse_bank_cjsc,Converse Bank,Converse Bank CJSC,89001000008,
inecobank_cjsc,Inecobank,InecoBank CJSC,89001000009,
artsakhbank_cjsc,Artsakhbank,ArtsakhBank CJSC,89001000012,
belarusbank,Belarusbank,Belarusbank JSC,89005000011,
priorbank_jscb,Priorbank,"""Priorbank"" JSC",89005000001,
belagroprom,Belagroprombank,"""Belagroprombank"" JSC",89005000010,
zepterbank,Zepter Bank,"""Zepter Bank"" CJSC",89005000016,
rdb_bank,Rdb-Bank,RDB-Bank CJSC,89005000007,
bta_by,Bta Bank,"""BTA Bank"" CJSC",89005000018,
bsb_by,Bsb Bank,"""BSB Bank"" CJSC",89005000004,
paritet_by,Paritetbank,"""Paritetbank"" JSC",89005000013,
dabrabyt,Bank Dabrabyt,"""Bank Dabrabyt"" JSC",89005000006,
statusbank,Statusbank,"""STATUSBANK"" JSC",89005000022,
r_bank_jsc,R-Bank,R-Bank JSC,89005000014,
mtbank,Mtbank,"JSC ""MTBank""",89005000019,
kicb,Kyrgyz Investment And Credit Bank,"CJSC ""Kyrgyz Investment and Credit Bank""",89003000001,
ecobank,Ecoislamicbank,"CJSC ""EcoIslamicBank""",89003000005,
swiss_kgz,Kyrgyz-Swiss Bank,"CJSC ""Kyrgyz-Swiss Bank""",89003000014,
baitushum,Bank Bai-Tushum,"CJSC""Bai-Tushum"" Bank",89003000015,
finca,Finca Bank,"CJSC""FINCA Bank""",89003000020,
kompanion,Kompanion Bank,"CJSC ""Kompanion Bank""",89003000021,
dushanbe_city,Dushanbe City Bank,"CJSC ""Dushanbe City Bank""",89009000001,
xalq_uzb,Xalq Bank,"JSC ""Xalq Bank""",89004000002,
garant,Garant Bank,"JSC ""Garant bank""",89004000011,
ziraatbank,Ziraat Bank Uzbekistan,"JSC ""ZIRAAT BANK""",89004000026,
tenge,Tenge Bank,"JSC ""Tenge Bank""",89004000030,
uzum,Uzum Bank,"JSC ""Uzum bank""",89004000033,
apex,Apex Bank,"JSC ""Apex bank""",89004000034,
byblos_bank_armenia_cjsc,Byblos Bank Armenia,Byblos Bank Armenia CJSC,89001000010,
ao_bank_ermak,Bank Yermak,Yermak,73482030501,
national_bank_of_the_republic_of_abkhazia,The National Bank of the Republic of Abkhazia,The National Bank of the Republic of Abkhazia,89002000001,
garant_abh,Garanta Bank Abh,"commercial bank ""GARANT - bank""",89002000004,
zapsibcombank,,BM-Bank JSC,70530310103,
ooo_kb_gt_bank,,Gaztransbank,73242026701,
ao_ishbank,,ISBANK,72292028101,
investment_bank_vesta_llc,,Blanc bank,73702034201,
ao_akb_mezhdunarodnyj_finansovyj_klub,,MFK BANK,73572035601,
National_bank_Rep_South_Ossetia,,National bank Rep. of South Ossetia,50000000000,
yoomoney,,"""YooMoney"", NBCO LLC",74252041201,
sks_bank_llc,"SKS Bank, LLC","MP Bank, LLC",74694150101,
vtb_belarus,CJSC VTB Bank,CJSC VTB Bank (Belarus),50000000001,
vtb_am,,VTB (Armenia),50000000033,
vtb_kz,,Bank VTB (Kazakhstan),50000000004,
Sukhum,,"The Commercial bank ""Sukhum - Bank""",89002000005,
Universal,,"The Commercial bank ""Universal - bank""",89002000007,
Savings Bank of Abkhazia,,Savings Bank of Abkhazia,89002000002,
Amra,,"The Commercial bank ""Amra - bank"" (LLC)",89002000008,
id_bank_cjsc,ID Bank CJSC,ID Bank CJSC,89001000003,
araratbank_ojsc,ARARATBANK OJSC,ARARATBANK OJSC,89001000005,
armeconombank_ojsc,ARMECONOMBANK OJSC,ARMECONOMBANK OJSC,89001000006,
acba_credit_agricole_bank_cjsc,ACBA-CREDIT AGRICOLE BANK CJSC,ACBA-CREDIT AGRICOLE BANK CJSC,89001000002,
alfa_by,CJSC Alfa-Bank,ALFA-BANK CJSK,89005000002,
belvnesheconom,Bank BelVEB JSC,Bank BelVEB JSC,89005000005,
belgazprombank,,Belgazprombank SBR JSC,89005000020,
sberbank_by,,Sber bank,89005000023,
technobank,BELVNESHECONOMBANK,"""Technobank"" JSC",89005000008,
belinvest,Belarusian Bank for Development and Reconstruction Belinvestbank JSC,"""Belinvestbank"" JSC""",89005000003,
bnb_by,Belarusky Narodny Bank (Belarusian People's Bank OJSC),BNB-Bank JSC,89005000015,
DOSCREDO,,"OJSC ""Dos-Kredobank""",89003000006,
bakai,,"OJSC ""BAKAI Bank""",89003000002,
RSKBank,,"OJSC ""RSK Bank""",89003000003,
bakai,,"OJSC ""BAKAI BANK""",89003000004,
kyrgyzkommerts,OJSC Commercial Bank Kyrgyzstan,"OJSC ""Commercial bank KYRGYZSTAN""",89003000008,
bank_asia_cjsc,,"CJSC ""Bank of Asia""",89003000009,
Eurasian Savings Bank,OJSC Eurasian Savings Bank,"OJSC ""Eurasian Savings Bank""",89003000010,
Keremet,Open Joint Stock Company Keremet Bank,"OJSC ""Keremet Bank""",89003000011,
FinanceCredit,OJSC FinanceCreditBank,"OJSC ""FinanceCreditBank""",89003000012,
halyk_kgz,,"OJSC ""Halyk Bank Kyrgyzstan""",89003000013,
TOLUBAI,,"CJSB JSCB ""Tolubay""",89003000016,
Aiyl,OJSC Aiyl Bank,"OJSC ""Aiyl Bank""",89003000017,
NBP BB,Bishkek branch of the National bank of Pakistan,Bishkek branch of the National bank of Pakistan,89003000018,
Keremet,Open Joint Stock Company Keremet Bank,"OJSC ""Kyrgyzkommertsbank""",89003000022,
optima_bank,,"OJSC ""Optima Bank""",89003000023,
DEMIR,DEMIR KYRGYZ INTERNATIONAL BANK CJSC,"CJSC ""Demir Kyrgyz Internation Bank""",89003000025,
capital_kgz,,"OJSC ""Capital Bank""",89003000024,
Amonatbonk,,"SSB RT ""Amonatbonk""",89006000003,
Kommerzbank,Ltd MDO Kommerzbank,"Ltd MDO ""Kommerzbank""",89006000014,
Aloqa,,"JSC ""Aloqabank""",89004000012,
Agrobank,,"JSCB ""Agrobank""",89004000001,
QishloqQurilish,,"JSCB ""QishloqQurilishBank""",89004000008,
Davr,,"PJSC ""Davr-bank""",89004000017,
Turon,,"JSCB ""Turonbank""",89004000013,
Poytaht,,"JSC ""Poytaht bank""",89004000029,
AziyaAlians,OJSCB ASIA ALLIANCE BANK,"JSCB ""Asia Aliance Bank""",89004000018,
Universal,,"PJSC ""Universalbank""",89004000020,
Saderot,,"Affiliate bank ""Saderot"" Iran",89004000027,
ipoteka,JS Commercial Mortgage Bank Ipoteka Bank,"JSICB ""Ipoteka-bank""",89004000003,
Mikrokredit,,"JSCB ""Mikrokreditbank""",89004000006,
NBU,National Bank for Foreign Economic Affairs,National Bank for Foreign Economic Affairs,89004000004,
Ravnaq,,"PJSC ""Ravnaq-bank""",89004000023,
Promstroy,,"JSCB ""Uzpromstroybank""",89004000007,
Hamkor,,"JSCB ""Hamkorbank",89004000005,
IpakYoli,,"JSICB ""Ipak Yuli""",89004000010,
Kapital,,"JSCB ""Kapitalbank""",89004000015,
Trastbank,Private JS Exchange Bank Trustbank,"PJSC ""Trasnbank""",89004000014,
KDB,,"JSC ""KDB Uzbekistan""",89004000024,
OrientFinans,,"PJSC ""Orient Finance""",89004000019,
Asaka,,"JSCB "" Asaka""",89004000009,
InFin,,"JSCB ""Invest Finance Bank""",89004000016,
Madad,,"PJSC ""Madad Invest Bank""",89004000025,
Uzagroeksport,,"JSCB ""Uzagroeksportbank""",89004000028,
TBC,,"JSCB ""TBC Bank""",89004000031,
AO ANOR BANK,,"JSC ""Anor Bank""",89004000032,
